"elapsed_ms","phase","profile_speed_mm_s","measured_speed_mm_s","acceleration_command_mm_s2","acceleration_measured_mm_s2","yaw_command_mdeg_s","gyro_heading_progress_mdeg","encoder_heading_progress_mdeg","left_output_permille","right_output_permille","left_measured_cps","right_measured_cps"
"0","accelerating","0","0","0","0","0","0","0","0","0","0","0"
"100","accelerating","1","0","23","0","0","3","0","50","50","0","0"
"200","accelerating","4","14","45","132","0","7","127","48","47","100","100"
"300","accelerating","10","3","66","-43","0","13","65","56","58","50","0"
"400","accelerating","17","7","85","14","0","28","63","64","64","50","50"
"500","accelerating","27","17","102","69","0","36","0","73","70","100","150"
"600","accelerating","38","24","117","77","0","39","63","80","83","200","150"
"700","accelerating","50","35","131","154","0","54","1","93","93","250","250"
"800","accelerating","64","49","143","148","0","79","63","105","106","350","350"
"900","accelerating","79","67","153","149","0","76","126","113","117","500","450"
"1000","accelerating","95","85","162","186","0","90","126","126","127","600","600"
"1100","accelerating","111","106","169","192","0","95","126","135","136","750","750"
"1200","accelerating","128","113","174","129","0","77","190","151","153","800","800"
"1300","accelerating","146","135","177","202","0","76","191","163","165","950","950"
"1400","accelerating","164","156","179","213","0","150","317","175","177","1100","1100"
"1500","accelerating","182","174","179","191","15000","176","191","170","207","1200","1250"
"1600","accelerating","200","195","178","215","15000","72","0","178","221","1350","1400"
"1700","accelerating","218","216","175","215","0","1","63","201","218","1550","1500"
"1800","accelerating","235","227","170","122","8000","17","127","207","239","1600","1600"
"1900","accelerating","252","241","163","129","8000","73","318","222","251","1650","1750"
"2000","accelerating","267","262","155","190","0","110","192","238","255","1850","1850"
"2100","accelerating","283","280","145","203","0","73","192","249","270","2000","1950"
"2200","accelerating","296","298","133","221","0","104","318","262","275","2050","2150"
"2300","accelerating","309","309","120","102","0","145","319","269","289","2200","2150"
"2400","accelerating","320","326","104","160","0","179","446","276","293","2300","2300"
"2500","accelerating","330","341","88","190","0","131","509","281","298","2400","2400"
"2600","accelerating","338","348","69","135","0","189","573","289","301","2400","2500"
"2700","accelerating","344","351","49","53","0","197","574","289","308","2500","2450"
"2800","accelerating","348","358","27","58","0","81","573","292","306","2500","2550"
"2900","accelerating","349","358","4","12","0","96","637","288","307","2550","2500"
"3000","cruising","350","355","0","-46","0","178","637","290","306","2500","2500"
"3100","cruising","350","365","0","104","0","103","700","286","299","2550","2600"
"3200","cruising","350","358","0","-29","0","78","764","286","299","2500","2550"
"3300","cruising","350","351","0","-85","0","117","828","285","303","2500","2450"
"3400","cruising","350","355","0","17","0","158","828","284","300","2500","2500"
"3500","cruising","350","351","0","-19","0","104","827","286","299","2450","2500"
"3600","cruising","350","362","0","95","0","148","954","280","294","2550","2550"
"3700","cruising","350","348","0","-50","0","257","1145","285","299","2450","2450"
"3800","cruising","350","351","0","3","-8000","185","1019","293","288","2500","2450"
"3900","cruising","350","348","0","-32","0","161","955","285","299","2450","2450"
"4000","cruising","350","348","0","-26","0","275","1209","285","298","2450","2450"
"4100","cruising","350","348","0","-24","-15000","250","1146","306","277","2450","2450"
"4200","cruising","350","355","0","63","-15000","133","828","306","271","2500","2500"
"4300","cruising","350","351","0","19","-23000","101","574","319","260","2500","2450"
"4400","cruising","350","348","0","-11","-45000","76","126","355","228","2500","2400"
"4500","cruising","350","348","0","22","-60000","844","1780","377","206","2600","2300"
"4600","cruising","350","341","0","-31","-75000","2400","4516","406","186","2650","2150"
"4700","cruising","350","333","0","-77","-75000","4662","7951","418","184","2650","2050"
"4800","cruising","350","344","0","74","-75000","7785","12277","421","179","2800","2050"
"4900","cruising","350","341","0","28","-75000","11491","17494","428","178","2800","2000"
"5000","cruising","350","341","0","-20","-75000","15496","22266","436","173","2800","2000"
"5100","cruising","350","341","0","-34","-75000","19672","27546","440","172","2850","1950"
