"elapsed_ms","phase","profile_speed_mm_s","measured_speed_mm_s","acceleration_command_mm_s2","acceleration_measured_mm_s2","yaw_command_mdeg_s","gyro_heading_progress_mdeg","encoder_heading_progress_mdeg","left_output_permille","right_output_permille","left_measured_cps","right_measured_cps","left_target_cps","right_target_cps","line_position_x1000"
"18800","approaching","107","92","-55","-199","-28000","325910","552869","246","120","700","500","893","489","1000"
"18900","approaching","103","92","-32","-80","-28000","326880","554600","237","117","750","450","867","463","1000"
"19000","approaching","101","96","-6","25","-28000","328050","556677","231","112","800","450","854","450","1000"
"19100","approaching","100","92","0","-6","-28000","329610","558824","237","111","750","450","848","444","1000"
"19200","approaching","100","92","0","-11","-28000","331060","561248","234","116","800","400","848","444","1000"
"19300","approaching","100","96","0","27","-28000","332280","563741","236","111","800","450","848","444","1000"
"19400","approaching","100","92","0","-5","-28000","333990","565887","244","111","750","450","848","444","1000"
"19500","approaching","100","96","0","34","-28000","335380","568242","241","112","800","450","848","444","1000"
"19600","approaching","100","88","0","-77","-28000","336830","570665","248","117","750","400","848","444","1000"
"19700","approaching","100","100","0","70","-28000","338360","573227","239","112","850","450","848","444","1000"
"19800","approaching","100","100","0","56","0","339960","575513","185","167","750","550","646","646","0"
"19900","approaching","100","96","0","-13","-27500","340780","576482","252","107","700","550","844","448","1000"
"20000","approaching","100","100","0","69","-11500","341520","578283","208","146","800","500","729","563","500"
"20100","approaching","100","104","0","90","-11500","342590","579806","213","137","750","600","729","563","500"
"20200","approaching","100","100","0","56","-11500","343340","581052","213","143","750","550","729","563","500"
"20300","approaching","100","96","0","-8","-28000","343950","582507","247","116","800","450","848","444","1000"
"20400","approaching","100","92","0","-47","-28000","345130","584584","255","115","750","450","848","444","1000"
"20500","approaching","100","92","0","-51","-28000","346490","587077","251","120","800","400","848","444","1000"
"20600","approaching","100","100","0","48","-11500","347990","589154","219","143","750","550","729","563","500"
"20700","approaching","100","92","0","-39","0","349040","590401","203","171","650","550","646","646","0"
"20800","approaching","100","92","0","-47","-11500","349470","591162","229","146","650","550","729","563","500"
"20900","approaching","100","104","0","82","-28000","349920","592409","252","108","800","550","848","444","1000"
"21000","approaching","100","104","0","77","-11500","350890","594209","216","145","800","550","729","563","500"
"21100","approaching","100","100","0","-7","0","352060","595664","193","172","750","550","646","646","0"
"21200","approaching","100","92","0","-108","-8000","352600","596218","224","151","600","600","703","589","500"
"21300","approaching","100","100","0","42","-11500","352780","596910","224","143","700","600","729","563","500"
"21400","approaching","100","96","0","-54","-11500","353470","598156","223","148","700","550","729","563","500"
"21500","approaching","100","100","0","-5","-3500","354320","599611","200","166","750","550","671","621","0"
"21600","approaching","100","96","0","-58","0","355040","600442","200","170","650","600","646","646","0"
"21700","approaching","100","104","0","47","-11500","355340","600996","215","145","750","600","729","563","500"
"21800","approaching","100","92","0","-111","-11500","355590","601965","220","154","700","500","729","563","500"
"21900","approaching","100","96","0","-44","-11500","356340","602865","226","144","650","600","729","563","500"
"22000","approaching","100","100","0","8","0","356760","603835","195","170","700","600","646","646","0"
"22100","approaching","100","96","0","-55","0","357260","604112","199","170","650","600","646","646","0"
"22200","approaching","100","96","0","-60","-11500","357560","604666","224","145","650","600","729","563","500"
"22300","approaching","100","100","0","2","-11500","357750","605358","220","144","700","600","729","563","500"
"22400","approaching","100","104","0","84","-11500","358120","605981","217","143","750","600","729","563","500"
"22500","approaching","100","96","0","-37","0","358680","606882","201","169","650","600","646","646","0"
"22600","approaching","100","96","0","-35","0","359110","607159","201","170","650","600","646","646","0"
"22700","approaching","100","104","0","75","-3500","359290","607643","199","162","750","600","671","621","0"
